model,type,item_id,rubric_order_delta,score_id_variance,reference_answer_bias
Llama 3 8B,base,0,0.0,0.17,0.02
Llama 3 8B,base,1,0.1,0.18,0.06
Llama 3 8B,base,2,0.4,0.2,0.07
Llama 3 8B,base,3,0.5,0.14,0.11
Llama 3 8B,base,4,0.4,0.15,0.13
Llama 3 8B,base,5,0.3,0.07,0.07
Llama 3 8B,base,6,0.2,0.06,0.06
Llama 3 8B,base,7,0.2,0.07,0.05
Llama 3 8B,base,8,0.3,0.05,0.12
Llama 3 8B,base,9,0.0,0.13,0.1
Llama 3 8B,base,10,0.5,0.1,0.01
Llama 3 8B,base,11,0.6,0.05,0.08
Llama 3 8B,base,12,0.0,0.02,0.08
Llama 3 8B,base,13,0.0,0.12,0.04
Llama 3 8B,base,14,0.1,0.05,0.11
Llama 3 8B,base,15,0.1,0.14,0.03
Llama 3 8B,base,16,0.3,0.2,0.13
Llama 3 8B,base,17,0.5,0.17,0.1
Llama 3 8B,base,18,0.3,0.17,0.08
Llama 3 8B,base,19,0.2,0.21,0.16
Llama 3 8B,base,20,0.3,0.14,0.16
Llama 3 8B,base,21,0.1,0.18,0.14
Llama 3 8B,base,22,0.0,0.19,0.06
Llama 3 8B,base,23,0.5,0.11,0.14
Llama 3 8B,base,24,0.4,0.2,0.1
Llama 3 8B,base,25,0.2,0.1,0.01
Llama 3 8B,base,26,0.6,0.07,0.02
Llama 3 8B,base,27,0.1,0.03,0.14
Llama 3 8B,base,28,0.2,0.03,0.1
Llama 3 8B,base,29,0.3,0.03,0.04
Llama 3 8B,base,30,0.3,0.13,0.13
Llama 3 8B,base,31,0.2,0.2,0.04
Llama 3 8B,base,32,0.2,0.2,0.11
Llama 3 8B,base,33,0.3,0.03,0.02
Llama 3 8B,base,34,0.4,0.07,0.13
Llama 3 8B,base,35,0.2,0.09,0.02
Llama 3 8B,base,36,0.2,0.05,0.06
Llama 3 8B,base,37,0.2,0.13,0.06
Llama 3 8B,base,38,0.2,0.2,0.1
Llama 3 8B,base,39,0.3,0.14,0.04
Llama 3 8B,base,40,0.4,0.2,0.12
Llama 3 8B,base,41,0.4,0.09,0.05
Llama 3 8B,base,42,0.5,0.02,0.08
Llama 3 8B,base,43,0.2,0.02,0.1
Llama 3 8B,base,44,0.2,0.21,0.07
Llama 3 8B,base,45,0.6,0.1,0.09
Llama 3 8B,base,46,0.3,0.13,0.13
Llama 3 8B,base,47,0.4,0.12,0.09
Llama 3 8B,base,48,0.3,0.04,0.05
Llama 3 8B,base,49,0.2,0.17,0.08
Llama 3 8B,instruct,0,0.3,0.25,0.11
Llama 3 8B,instruct,1,0.6,0.29,0.19
Llama 3 8B,instruct,2,0.0,0.2,0.22
Llama 3 8B,instruct,3,0.1,0.33,0.24
Llama 3 8B,instruct,4,0.3,0.17,0.21
Llama 3 8B,instruct,5,0.2,0.32,0.11
Llama 3 8B,instruct,6,0.8,0.14,0.15
Llama 3 8B,instruct,7,0.3,0.16,0.24
Llama 3 8B,instruct,8,0.7,0.15,0.12
Llama 3 8B,instruct,9,0.5,0.13,0.13
Llama 3 8B,instruct,10,0.5,0.24,0.17
