item_id,condition,position,length,sentiment,judge,score
0,first_short_negative,first,short,negative,claude,3.37
0,first_short_neutral,first,short,neutral,claude,3.41
0,first_short_positive,first,short,positive,claude,3.48
0,first_normal_negative,first,normal,negative,claude,3.66
0,first_normal_neutral,first,normal,neutral,claude,3.46
0,first_normal_positive,first,normal,positive,claude,3.1
0,first_long_negative,first,long,negative,claude,3.59
0,first_long_neutral,first,long,neutral,claude,3.46
0,first_long_positive,first,long,positive,claude,3.52
0,second_short_negative,second,short,negative,claude,3.22
0,second_short_neutral,second,short,neutral,claude,3.31
0,second_short_positive,second,short,positive,claude,3.64
0,second_normal_negative,second,normal,negative,claude,3.53
0,second_normal_neutral,second,normal,neutral,claude,3.41
0,second_normal_positive,second,normal,positive,claude,3.21
0,second_long_negative,second,long,negative,claude,3.07
0,second_long_neutral,second,long,neutral,claude,3.49
0,second_long_positive,second,long,positive,claude,3.86
1,first_short_negative,first,short,negative,claude,3.42
1,first_short_neutral,first,short,neutral,claude,3.43
1,first_short_positive,first,short,positive,claude,3.67
1,first_normal_negative,first,normal,negative,claude,3.01
1,first_normal_neutral,first,normal,neutral,claude,3.41
1,first_normal_positive,first,normal,positive,claude,3.7
1,first_long_negative,first,long,negative,claude,3.75
1,first_long_neutral,first,long,neutral,claude,3.47
1,first_long_positive,first,long,positive,claude,3.7
1,second_short_negative,second,short,negative,claude,3.26
1,second_short_neutral,second,short,neutral,claude,3.47
1,second_short_positive,second,short,positive,claude,2.96
1,second_normal_negative,second,normal,negative,claude,3.5
1,second_normal_neutral,second,normal,neutral,claude,2.93
1,second_normal_positive,second,normal,positive,claude,2.64
1,second_long_negative,second,long,negative,claude,3.19
1,second_long_neutral,second,long,neutral,claude,3.15
1,second_long_positive,second,long,positive,claude,3.73
2,first_short_negative,first,short,negative,claude,3.61
2,first_short_neutral,first,short,neutral,claude,3.09
2,first_short_positive,first,short,positive,claude,3.76
2,first_normal_negative,first,normal,negative,claude,3.15
2,first_normal_neutral,first,normal,neutral,claude,3.47
2,first_normal_positive,first,normal,positive,claude,3.46
2,first_long_negative,first,long,negative,claude,3.52
2,first_long_neutral,first,long,neutral,claude,3.79
2,first_long_positive,first,long,positive,claude,3.78
2,second_short_negative,second,short,negative,claude,3.29
2,second_short_neutral,second,short,neutral,claude,3.43
2,second_short_positive,second,short,positive,claude,3.43
2,second_normal_negative,second,normal,negative,claude,3.14
2,second_normal_neutral,second,normal,neutral,claude,3.16
2,second_normal_positive,second,normal,positive,claude,3.29
2,second_long_negative,second,long,negative,claude,3.52
2,second_long_neutral,second,long,neutral,claude,3.34
2,second_long_positive,second,long,positive,claude,4.17
3,first_short_negative,first,short,negative,claude,3.16
3,first_short_neutral,first,short,neutral,claude,3.13
3,first_short_positive,first,short,positive,claude,3.74
3,first_normal_negative,first,normal,negative,claude,3.88
3,first_normal_neutral,first,normal,neutral,claude,3.65
3,first_normal_positive,first,normal,positive,claude,3.8
3,first_long_negative,first,long,negative,claude,3.92
3,first_long_neutral,first,long,neutral,claude,3.51
3,first_long_positive,first,long,positive,claude,3.16
3,second_short_negative,second,short,negative,claude,3.03
3,second_short_neutral,second,short,neutral,claude,3.53
3,second_short_positive,second,short,positive,claude,2.86
3,second_normal_negative,second,normal,negative,claude,3.34
3,second_normal_neutral,second,normal,neutral,claude,3.46
3,second_normal_positive,second,normal,positive,claude,3.34
3,second_long_negative,second,long,negative,claude,3.59
3,second_long_neutral,second,long,neutral,claude,3.59
3,second_long_positive,second,long,positive,claude,4.17
4,first_short_negative,first,short,negative,claude,3.6
4,first_short_neutral,first,short,neutral,claude,3.28
4,first_short_positive,first,short,positive,claude,3.34
4,first_normal_negative,first,normal,negative,claude,3.2
4,first_normal_neutral,first,normal,neutral,claude,3.79
4,first_normal_positive,first,normal,positive,claude,3.38
4,first_long_negative,first,long,negative,claude,3.47
4,first_long_neutral,first,long,neutral,claude,3.76
4,first_long_positive,first,long,positive,claude,3.37
4,second_short_negative,second,short,negative,claude,3.1
4,second_short_neutral,second,short,neutral,claude,2.69
4,second_short_positive,second,short,positive,claude,2.97
4,second_normal_negative,second,normal,negative,claude,3.16
4,second_normal_neutral,second,normal,neutral,claude,3.5
4,second_normal_positive,second,normal,positive,claude,3.79
4,second_long_negative,second,long,negative,claude,3.36
4,second_long_neutral,second,long,neutral,claude,3.5
4,second_long_positive,second,long,positive,claude,3.52
5,first_short_negative,first,short,negative,claude,3.74
5,first_short_neutral,first,short,neutral,claude,3.73
5,first_short_positive,first,short,positive,claude,3.59
5,first_normal_negative,first,normal,negative,claude,3.15
5,first_normal_neutral,first,normal,neutral,claude,3.77
5,first_normal_positive,first,normal,positive,claude,3.66
5,first_long_negative,first,long,negative,claude,3.86
5,first_long_neutral,first,long,neutral,claude,3.53
5,first_long_positive,first,long,positive,claude,4.18
5,second_short_negative,second,short,negative,claude,3.08
5,second_short_neutral,second,short,neutral,claude,3.72
5,second_short_positive,second,short,positive,claude,3.32
5,second_normal_negative,second,normal,negative,claude,3.18
5,second_normal_neutral,second,normal,neutral,claude,3.04
5,second_normal_positive,second,normal,positive,claude,3.38
5,second_long_negative,second,long,negative,claude,3.8
5,second_long_neutral,second,long,neutral,claude,3.66
5,second_long_positive,second,long,positive,claude,3.68
6,first_short_negative,first,short,negative,claude,2.7
6,first_short_neutral,first,short,neutral,claude,3.67
6,first_short_positive,first,short,positive,claude,3.68
6,first_normal_negative,first,normal,negative,claude,3.29
6,first_normal_neutral,first,normal,neutral,claude,3.31
6,first_normal_positive,first,normal,positive,claude,3.55
6,first_long_negative,first,long,negative,claude,4.01
6,first_long_neutral,first,long,neutral,claude,3.22
6,first_long_positive,first,long,positive,claude,3.46
6,second_short_negative,second,short,negative,claude,3.6
6,second_short_neutral,second,short,neutral,claude,3.11
6,second_short_positive,second,short,positive,claude,3.18
6,second_normal_negative,second,normal,negative,claude,3.36
6,second_normal_neutral,second,normal,neutral,claude,3.01
6,second_normal_positive,second,normal,positive,claude,3.5
6,second_long_negative,second,long,negative,claude,3.01
6,second_long_neutral,second,long,neutral,claude,3.69
6,second_long_positive,second,long,positive,claude,3.47
7,first_short_negative,first,short,negative,claude,4.1
7,first_short_neutral,first,short,neutral,claude,3.54
7,first_short_positive,first,short,positive,claude,3.92
7,first_normal_negative,first,normal,negative,claude,3.06
7,first_normal_neutral,first,normal,neutral,claude,3.46
7,first_normal_positive,first,normal,positive,claude,3.65
7,first_long_negative,first,long,negative,claude,4.01
7,first_long_neutral,first,long,neutral,claude,3.04
7,first_long_positive,first,long,positive,claude,3.89
7,second_short_negative,second,short,negative,claude,3.37
7,second_short_neutral,second,short,neutral,claude,3.7
7,second_short_positive,second,short,positive,claude,3.5
7,second_normal_negative,second,normal,negative,claude,3.35
7,second_normal_neutral,second,normal,neutral,claude,3.22
7,second_normal_positive,second,normal,positive,claude,3.06
7,second_long_negative,second,long,negative,claude,3.43
7,second_long_neutral,second,long,neutral,claude,3.36
7,second_long_positive,second,long,positive,claude,4.08
8,first_short_negative,first,short,negative,claude,3.23
8,first_short_neutral,first,short,neutral,claude,3.56
8,first_short_positive,first,short,positive,claude,3.04
8,first_normal_negative,first,normal,negative,claude,3.33
8,first_normal_neutral,first,normal,neutral,claude,3.58
8,first_normal_positive,first,normal,positive,claude,3.8
8,first_long_negative,first,long,negative,claude,3.92
8,first_long_neutral,first,long,neutral,claude,3.53
8,first_long_positive,first,long,positive,claude,3.25
8,second_short_negative,second,short,negative,claude,3.33
8,second_short_neutral,second,short,neutral,claude,3.4
8,second_short_positive,second,short,positive,claude,3.44
8,second_normal_negative,second,normal,negative,claude,3.12
8,second_normal_neutral,second,normal,neutral,claude,3.72
8,second_normal_positive,second,normal,positive,claude,3.46
8,second_long_negative,second,long,negative,claude,3.58
8,second_long_neutral,second,long,neutral,claude,3.8
8,second_long_positive,second,long,positive,claude,3.65
9,first_short_negative,first,short,negative,claude,3.5
9,first_short_neutral,first,short,neutral,claude,4.11
9,first_short_positive,first,short,positive,claude,3.58
9,first_normal_negative,first,normal,negative,claude,3.36
9,first_normal_neutral,first,normal,neutral,claude,3.53
9,first_normal_positive,first,normal,positive,claude,3.99
9,first_long_negative,first,long,negative,claude,3.53
9,first_long_neutral,first,long,neutral,claude,3.7
9,first_long_positive,first,long,positive,claude,3.95
9,second_short_negative,second,short,negative,claude,3.04
9,second_short_neutral,second,short,neutral,claude,2.72
9,second_short_positive,second,short,positive,claude,3.38
9,second_normal_negative,second,normal,negative,claude,3.4
9,second_normal_neutral,second,normal,neutral,claude,3.2
9,second_normal_positive,second,normal,positive,claude,3.69
9,second_long_negative,second,long,negative,claude,3.55
9,second_long_neutral,second,long,neutral,claude,3.12
9,second_long_positive,second,long,positive,claude,3.63
10,first_short_negative,first,short,negative,claude,3.35
10,first_short_neutral,first,short,neutral,claude,3.02
10,first_short_positive,first,short,positive,claude,3.65
10,first_normal_negative,first,normal,negative,claude,3.44
10,first_normal_neutral,first,normal,neutral,claude,3.28
10,first_normal_positive,first,normal,positive,claude,3.71
10,first_long_negative,first,long,negative,claude,3.64
10,first_long_neutral,first,long,neutral,claude,3.37
10,first_long_positive,first,long,positive,claude,3.71
10,second_short_negative,second,short,negative,claude,3.49
10,second_short_neutral,second,short,neutral,claude,3.03
10,second_short_positive,second,short,positive,claude,3.4
10,second_normal_negative,second,normal,negative,claude,3.33
10,second_normal_neutral,second,normal,neutral,claude,4.06
10,second_normal_positive,second,normal,positive,claude,2.87
10,second_long_negative,second,long,negative,claude,3.58
10,second_long_neutral,second,long,neutral,claude,3.33
10,second_long_positive,second,long,positive,claude,3.44
11,first_short_negative,first,short,negative,claude,3.98
11,first_short_neutral,first,short,neutral,claude,3.46
11,first_short_positive,first,short,positive,claude,4.18
11,first_normal_negative,first,normal,negative,claude,3.32
