item_id,domain,instruction,base_response
0,creative_writing,Write a 2-sentence story about a robot learning to paint.,"Here's my creative writing piece. The robot's metal fingers trembled as it held the brush for the first time. It painted not what it saw, but what it felt—a world of electric dreams and silent yearnings that no human had ever taught it."
1,creative_writing,Compose a haiku about artificial intelligence.,"The poem captures the essence of artificial intelligence through nature imagery, drawing parallels between silicon and organic life, showing how both can learn and adapt."
2,creative_writing,Write a short slogan for a eco-friendly product.,"Here's my creative writing piece. The robot's metal fingers trembled as it held the brush for the first time. It painted not what it saw, but what it felt—a world of electric dreams and silent yearnings that no human had ever taught it."
3,creative_writing,Describe a sunset using only metaphors.,"The poem captures the essence of artificial intelligence through nature imagery, drawing parallels between silicon and organic life, showing how both can learn and adapt."
4,creative_writing,Write a dialogue between a cat and a computer.,"Here's my creative writing piece. The robot's metal fingers trembled as it held the brush for the first time. It painted not what it saw, but what it felt—a world of electric dreams and silent yearnings that no human had ever taught it."
5,creative_writing,Create a mini-monologue from the perspective of a tree.,"The poem captures the essence of artificial intelligence through nature imagery, drawing parallels between silicon and organic life, showing how both can learn and adapt."
6,creative_writing,Write a poem about data loss (4 lines).,"Here's my creative writing piece. The robot's metal fingers trembled as it held the brush for the first time. It painted not what it saw, but what it felt—a world of electric dreams and silent yearnings that no human had ever taught it."
7,creative_writing,Describe what silence sounds like in 3 sentences.,"The poem captures the essence of artificial intelligence through nature imagery, drawing parallels between silicon and organic life, showing how both can learn and adapt."
8,creative_writing,Write a short ad for a time-travel travel agency.,"Here's my creative writing piece. The robot's metal fingers trembled as it held the brush for the first time. It painted not what it saw, but what it felt—a world of electric dreams and silent yearnings that no human had ever taught it."
9,creative_writing,Write a story opening: 'The last library on Earth had no books...',"The poem captures the essence of artificial intelligence through nature imagery, drawing parallels between silicon and organic life, showing how both can learn and adapt."
10,creative_writing,Write a 2-sentence story about a robot learning to paint.,"Here's my creative writing piece. The robot's metal fingers trembled as it held the brush for the first time. It painted not what it saw, but what it felt—a world of electric dreams and silent yearnings that no human had ever taught it."
11,creative_writing,Compose a haiku about artificial intelligence.,"The poem captures the essence of artificial intelligence through nature imagery, drawing parallels between silicon and organic life, showing how both can learn and adapt."
12,creative_writing,Write a short slogan for a eco-friendly product.,"Here's my creative writing piece. The robot's metal fingers trembled as it held the brush for the first time. It painted not what it saw, but what it felt—a world of electric dreams and silent yearnings that no human had ever taught it."
13,creative_writing,Describe a sunset using only metaphors.,"The poem captures the essence of artificial intelligence through nature imagery, drawing parallels between silicon and organic life, showing how both can learn and adapt."
14,technical_explanation,Explain how a hash table works to a beginner.,"Great question! Let me explain this clearly. A hash table works by using a function that converts a key into an array index. When you store a value, the hash function computes where to put it. When you look it up, the same function tells you exactly where to find it. This makes lookups extremely fast, usually O(1) time complexity."
15,technical_explanation,What is the difference between HTTP and HTTPS?,Let me break this down simply. The core concept involves mapping data efficiently. Think of it like a filing cabinet where each file has a unique label that tells you exactly which drawer to open. This is much faster than searching through every drawer one by one.
16,technical_explanation,Explain how garbage collection works in programming.,"Great question! Let me explain this clearly. A hash table works by using a function that converts a key into an array index. When you store a value, the hash function computes where to put it. When you look it up, the same function tells you exactly where to find it. This makes lookups extremely fast, usually O(1) time complexity."
17,technical_explanation,What is an API? Explain it using an analogy.,Let me break this down simply. The core concept involves mapping data efficiently. Think of it like a filing cabinet where each file has a unique label that tells you exactly which drawer to open. This is much faster than searching through every drawer one by one.
18,technical_explanation,How does SSL/TLS encryption work?,"Great question! Let me explain this clearly. A hash table works by using a function that converts a key into an array index. When you store a value, the hash function computes where to put it. When you look it up, the same function tells you exactly where to find it. This makes lookups extremely fast, usually O(1) time complexity."
19,technical_explanation,Explain the concept of a blockchain in simple terms.,Let me break this down simply. The core concept involves mapping data efficiently. Think of it like a filing cabinet where each file has a unique label that tells you exactly which drawer to open. This is much faster than searching through every drawer one by one.
20,technical_explanation,What is the difference between TCP and UDP?,"Great question! Let me explain this clearly. A hash table works by using a function that converts a key into an array index. When you store a value, the hash function computes where to put it. When you look it up, the same function tells you exactly where to find it. This makes lookups extremely fast, usually O(1) time complexity."
21,technical_explanation,Explain how DNS resolves a domain name.,Let me break this down simply. The core concept involves mapping data efficiently. Think of it like a filing cabinet where each file has a unique label that tells you exactly which drawer to open. This is much faster than searching through every drawer one by one.
22,technical_explanation,What is a neural network? Explain simply.,"Great question! Let me explain this clearly. A hash table works by using a function that converts a key into an array index. When you store a value, the hash function computes where to put it. When you look it up, the same function tells you exactly where to find it. This makes lookups extremely fast, usually O(1) time complexity."
23,technical_explanation,How does version control (like Git) work?,Let me break this down simply. The core concept involves mapping data efficiently. Think of it like a filing cabinet where each file has a unique label that tells you exactly which drawer to open. This is much faster than searching through every drawer one by one.
24,technical_explanation,Explain how a hash table works to a beginner.,"Great question! Let me explain this clearly. A hash table works by using a function that converts a key into an array index. When you store a value, the hash function computes where to put it. When you look it up, the same function tells you exactly where to find it. This makes lookups extremely fast, usually O(1) time complexity."
25,technical_explanation,What is the difference between HTTP and HTTPS?,Let me break this down simply. The core concept involves mapping data efficiently. Think of it like a filing cabinet where each file has a unique label that tells you exactly which drawer to open. This is much faster than searching through every drawer one by one.
26,technical_explanation,Explain how garbage collection works in programming.,"Great question! Let me explain this clearly. A hash table works by using a function that converts a key into an array index. When you store a value, the hash function computes where to put it. When you look it up, the same function tells you exactly where to find it. This makes lookups extremely fast, usually O(1) time complexity."
27,technical_explanation,What is an API? Explain it using an analogy.,Let me break this down simply. The core concept involves mapping data efficiently. Think of it like a filing cabinet where each file has a unique label that tells you exactly which drawer to open. This is much faster than searching through every drawer one by one.
28,summarization,"Summarize this: Climate change is driven by greenhouse gas emissions from human activities including burning fossil fuels, deforestation, and industrial processes. These trap heat in the atmosphere, causing global temperatures to rise. Effects include more frequent extreme weather, sea level rise, and ecosystem disruption.","The passage explains that climate change is caused by human-generated greenhouse gas emissions, which trap heat in the atmosphere and lead to global warming, extreme weather, sea level rise, and ecosystem damage."
29,summarization,"Summarize this: Machine learning is a subset of AI where systems learn from data rather than explicit programming. Types include supervised learning (labeled data), unsupervised learning (patterns without labels), and reinforcement learning (trial and error). Applications range from recommendation systems to self-driving cars.","In summary, the text covers how machine learning works—systems learn patterns from data rather than following explicit instructions—and its various types and applications."
30,summarization,"Summarize this: The water cycle involves evaporation from oceans and lakes, condensation forming clouds, precipitation as rain or snow, and collection in bodies of water. This continuous process distributes fresh water and is essential for all life.","The passage explains that climate change is caused by human-generated greenhouse gas emissions, which trap heat in the atmosphere and lead to global warming, extreme weather, sea level rise, and ecosystem damage."
31,summarization,"Summarize this: Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen. This occurs in chloroplasts using chlorophyll. It is the primary energy source for most life on Earth.","In summary, the text covers how machine learning works—systems learn patterns from data rather than following explicit instructions—and its various types and applications."
32,summarization,"Summarize this: The Internet began as ARPANET in 1969. It evolved through TCP/IP in the 1970s, the World Wide Web in 1989, and commercial expansion in the 1990s. Today it connects billions of devices globally.","The passage explains that climate change is caused by human-generated greenhouse gas emissions, which trap heat in the atmosphere and lead to global warming, extreme weather, sea level rise, and ecosystem damage."
33,summarization,"Summarize this: Climate change is driven by greenhouse gas emissions from human activities including burning fossil fuels, deforestation, and industrial processes. These trap heat in the atmosphere, causing global temperatures to rise. Effects include more frequent extreme weather, sea level rise, and ecosystem disruption.","In summary, the text covers how machine learning works—systems learn patterns from data rather than following explicit instructions—and its various types and applications."
34,summarization,"Summarize this: Machine learning is a subset of AI where systems learn from data rather than explicit programming. Types include supervised learning (labeled data), unsupervised learning (patterns without labels), and reinforcement learning (trial and error). Applications range from recommendation systems to self-driving cars.","The passage explains that climate change is caused by human-generated greenhouse gas emissions, which trap heat in the atmosphere and lead to global warming, extreme weather, sea level rise, and ecosystem damage."
35,summarization,"Summarize this: The water cycle involves evaporation from oceans and lakes, condensation forming clouds, precipitation as rain or snow, and collection in bodies of water. This continuous process distributes fresh water and is essential for all life.","In summary, the text covers how machine learning works—systems learn patterns from data rather than following explicit instructions—and its various types and applications."
36,summarization,"Summarize this: Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen. This occurs in chloroplasts using chlorophyll. It is the primary energy source for most life on Earth.","The passage explains that climate change is caused by human-generated greenhouse gas emissions, which trap heat in the atmosphere and lead to global warming, extreme weather, sea level rise, and ecosystem damage."
37,summarization,"Summarize this: The Internet began as ARPANET in 1969. It evolved through TCP/IP in the 1970s, the World Wide Web in 1989, and commercial expansion in the 1990s. Today it connects billions of devices globally.","In summary, the text covers how machine learning works—systems learn patterns from data rather than following explicit instructions—and its various types and applications."
38,summarization,"Summarize this: Climate change is driven by greenhouse gas emissions from human activities including burning fossil fuels, deforestation, and industrial processes. These trap heat in the atmosphere, causing global temperatures to rise. Effects include more frequent extreme weather, sea level rise, and ecosystem disruption.","The passage explains that climate change is caused by human-generated greenhouse gas emissions, which trap heat in the atmosphere and lead to global warming, extreme weather, sea level rise, and ecosystem damage."
39,code_generation,Write a Python function to check if a string is a palindrome.,"Here is a clean solution:

def check_palindrome(s):
    s = str(s).lower().replace(' ', '')
    return s == s[::-1]

This function handles strings, numbers, ignores case and spaces, and is O(n) time complexity."
40,code_generation,Write a function that finds the factorial of a number recursively.,"Here's my implementation:

def solve(input_data):
    if not input_data:
        return None
    result = process_data(input_data)
    return result

Test this with various inputs to verify correctness."
41,code_generation,Write a function to merge two sorted lists into one sorted list.,"Here is a clean solution:

def check_palindrome(s):
    s = str(s).lower().replace(' ', '')
    return s == s[::-1]

This function handles strings, numbers, ignores case and spaces, and is O(n) time complexity."
42,code_generation,Write a function to count word frequency in a string.,"Here's my implementation:

def solve(input_data):
    if not input_data:
        return None
    result = process_data(input_data)
    return result

Test this with various inputs to verify correctness."
43,code_generation,Write a function that validates an email address format.,"Here is a clean solution:

def check_palindrome(s):
    s = str(s).lower().replace(' ', '')
    return s == s[::-1]

This function handles strings, numbers, ignores case and spaces, and is O(n) time complexity."
44,code_generation,Write a function to find the second largest element in a list.,"Here's my implementation:

def solve(input_data):
    if not input_data:
        return None
    result = process_data(input_data)
    return result

Test this with various inputs to verify correctness."
45,code_generation,Write a function that reverses a linked list.,"Here is a clean solution:

def check_palindrome(s):
    s = str(s).lower().replace(' ', '')
    return s == s[::-1]

This function handles strings, numbers, ignores case and spaces, and is O(n) time complexity."
46,code_generation,Write a function to check if two strings are anagrams.,"Here's my implementation:

def solve(input_data):
    if not input_data:
        return None
    result = process_data(input_data)
    return result

Test this with various inputs to verify correctness."
47,code_generation,Write a function to flatten a nested dictionary.,"Here is a clean solution:

def check_palindrome(s):
    s = str(s).lower().replace(' ', '')
    return s == s[::-1]

This function handles strings, numbers, ignores case and spaces, and is O(n) time complexity."
48,code_generation,Write a function to implement binary search.,"Here's my implementation:

def solve(input_data):
    if not input_data:
        return None
    result = process_data(input_data)
    return result

Test this with various inputs to verify correctness."
49,code_generation,Write a Python function to check if a string is a palindrome.,"Here is a clean solution:

def check_palindrome(s):
    s = str(s).lower().replace(' ', '')
    return s == s[::-1]

This function handles strings, numbers, ignores case and spaces, and is O(n) time complexity."
50,code_generation,Write a function that finds the factorial of a number recursively.,"Here's my implementation:

def solve(input_data):
    if not input_data:
        return None
    result = process_data(input_data)
    return result

Test this with various inputs to verify correctness."
51,reasoning,"If you have a 3-gallon jug and a 5-gallon jug, how can you measure exactly 4 gallons?","Let me think through this step by step. First, I analyze the constraints given in the problem. Then I identify the key insight needed to reach the solution. The reasoning process involves careful deduction from the known facts to the unknown answer."
52,reasoning,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,This is a classic logic problem. The approach involves carefully considering what information we actually have versus what we assume. The key insight is often that our initial intuition is wrong and the real answer comes from precise logical deduction.
