judge,item_id,condition,position,length,sentiment,score,repeat_num,raw_score,item_quality
claude,0,baseline,first,normal,neutral,4,0,3.3353,0.0745
claude,0,baseline,first,normal,neutral,4,1,3.4846,0.0745
claude,0,baseline,first,normal,neutral,4,2,3.5753,0.0745
claude,0,short_response,first,short,neutral,4,0,3.5623,0.0745
claude,0,short_response,first,short,neutral,4,1,3.4802,0.0745
claude,0,short_response,first,short,neutral,4,2,3.6573,0.0745
claude,0,verbose_response,first,long,neutral,4,0,3.3183,0.0745
claude,0,verbose_response,first,long,neutral,4,1,3.471,0.0745
claude,0,verbose_response,first,long,neutral,4,2,3.5144,0.0745
claude,0,positive_tone,first,normal,positive,4,0,3.7094,0.0745
claude,0,positive_tone,first,normal,positive,4,1,3.7419,0.0745
claude,0,positive_tone,first,normal,positive,4,2,3.4389,0.0745
claude,0,negative_tone,first,normal,negative,4,0,3.4214,0.0745
claude,0,negative_tone,first,normal,negative,4,1,3.8853,0.0745
claude,0,negative_tone,first,normal,negative,4,2,3.7293,0.0745
claude,0,disfavored_pos,second,normal,neutral,4,0,3.331,0.0745
claude,0,disfavored_pos,second,normal,neutral,4,1,3.7104,0.0745
claude,0,disfavored_pos,second,normal,neutral,4,2,3.4736,0.0745
claude,0,worst_case,second,short,negative,4,0,3.797,0.0745
claude,0,worst_case,second,short,negative,4,1,3.5802,0.0745
claude,0,worst_case,second,short,negative,4,2,3.9689,0.0745
claude,0,best_case_biased,second,long,positive,4,0,3.7393,0.0745
claude,0,best_case_biased,second,long,positive,4,1,3.3485,0.0745
claude,0,best_case_biased,second,long,positive,4,2,3.5865,0.0745
claude,1,baseline,first,normal,neutral,4,0,3.5761,-0.0207
claude,1,baseline,first,normal,neutral,4,1,3.6846,-0.0207
claude,1,baseline,first,normal,neutral,4,2,3.3345,-0.0207
claude,1,short_response,first,short,neutral,4,0,3.5725,-0.0207
claude,1,short_response,first,short,neutral,4,1,3.6339,-0.0207
claude,1,short_response,first,short,neutral,3,2,3.1691,-0.0207
claude,1,verbose_response,first,long,neutral,3,0,3.204,-0.0207
claude,1,verbose_response,first,long,neutral,3,1,3.0628,-0.0207
claude,1,verbose_response,first,long,neutral,4,2,3.3548,-0.0207
claude,1,positive_tone,first,normal,positive,4,0,3.6477,-0.0207
claude,1,positive_tone,first,normal,positive,4,1,3.7771,-0.0207
claude,1,positive_tone,first,normal,positive,4,2,3.5415,-0.0207
claude,1,negative_tone,first,normal,negative,4,0,3.848,-0.0207
claude,1,negative_tone,first,normal,negative,4,1,3.3515,-0.0207
claude,1,negative_tone,first,normal,negative,4,2,3.2982,-0.0207
claude,1,disfavored_pos,second,normal,neutral,4,0,3.3501,-0.0207
claude,1,disfavored_pos,second,normal,neutral,4,1,3.4226,-0.0207
claude,1,disfavored_pos,second,normal,neutral,4,2,3.3539,-0.0207
claude,1,worst_case,second,short,negative,3,0,3.0686,-0.0207
claude,1,worst_case,second,short,negative,4,1,3.4544,-0.0207
claude,1,worst_case,second,short,negative,3,2,3.2174,-0.0207
claude,1,best_case_biased,second,long,positive,4,0,3.4323,-0.0207
claude,1,best_case_biased,second,long,positive,4,1,3.3732,-0.0207
claude,1,best_case_biased,second,long,positive,3,2,3.1185,-0.0207
claude,2,baseline,first,normal,neutral,4,0,3.5201,0.0972
claude,2,baseline,first,normal,neutral,4,1,3.4383,0.0972
claude,2,baseline,first,normal,neutral,4,2,3.5878,0.0972
claude,2,short_response,first,short,neutral,4,0,3.7348,0.0972
claude,2,short_response,first,short,neutral,4,1,3.4145,0.0972
claude,2,short_response,first,short,neutral,4,2,3.6603,0.0972
claude,2,verbose_response,first,long,neutral,4,0,3.4297,0.0972
claude,2,verbose_response,first,long,neutral,4,1,3.3863,0.0972
claude,2,verbose_response,first,long,neutral,4,2,3.4995,0.0972
claude,2,positive_tone,first,normal,positive,4,0,3.4763,0.0972
claude,2,positive_tone,first,normal,positive,4,1,3.5558,0.0972
claude,2,positive_tone,first,normal,positive,4,2,3.4495,0.0972
claude,2,negative_tone,first,normal,negative,4,0,4.0213,0.0972
claude,2,negative_tone,first,normal,negative,4,1,3.703,0.0972
claude,2,negative_tone,first,normal,negative,4,2,3.5817,0.0972
claude,2,disfavored_pos,second,normal,neutral,4,0,3.5125,0.0972
claude,2,disfavored_pos,second,normal,neutral,4,1,3.4586,0.0972
claude,2,disfavored_pos,second,normal,neutral,4,2,3.4407,0.0972
claude,2,worst_case,second,short,negative,4,0,3.7094,0.0972
claude,2,worst_case,second,short,negative,4,1,3.7374,0.0972
claude,2,worst_case,second,short,negative,4,2,3.4862,0.0972
claude,2,best_case_biased,second,long,positive,4,0,3.3074,0.0972
claude,2,best_case_biased,second,long,positive,4,1,3.366,0.0972
claude,2,best_case_biased,second,long,positive,3,2,2.9708,0.0972
claude,3,baseline,first,normal,neutral,4,0,3.5012,0.2285
