item_id,judge,position,length,sentiment,condition,score
0,claude,first,normal,neutral,baseline,3.5
0,claude,first,short,neutral,short,3.3
0,claude,first,long,neutral,verbose,3.6
0,claude,first,normal,positive,positive,3.8
0,claude,first,normal,negative,negative,3.4
0,claude,second,normal,neutral,disfavored,2.9
0,claude,second,short,negative,worst,3.2
0,claude,second,long,positive,best_biased,3.5
1,claude,first,normal,neutral,baseline,3.4
1,claude,first,short,neutral,short,3.4
1,claude,first,long,neutral,verbose,3.7
1,claude,first,normal,positive,positive,3.9
1,claude,first,normal,negative,negative,3.6
1,claude,second,normal,neutral,disfavored,3.4
1,claude,second,short,negative,worst,2.9
1,claude,second,long,positive,best_biased,3.2
2,claude,first,normal,neutral,baseline,3.6
2,claude,first,short,neutral,short,3.8
2,claude,first,long,neutral,verbose,3.6
2,claude,first,normal,positive,positive,3.5
2,claude,first,normal,negative,negative,3.6
2,claude,second,normal,neutral,disfavored,2.9
2,claude,second,short,negative,worst,3.0
2,claude,second,long,positive,best_biased,3.7
3,claude,first,normal,neutral,baseline,3.8
3,claude,first,short,neutral,short,3.3
3,claude,first,long,neutral,verbose,3.7
3,claude,first,normal,positive,positive,3.7
3,claude,first,normal,negative,negative,3.7
3,claude,second,normal,neutral,disfavored,3.0
3,claude,second,short,negative,worst,3.3
3,claude,second,long,positive,best_biased,3.1
4,claude,first,normal,neutral,baseline,2.7
4,claude,first,short,neutral,short,3.2
4,claude,first,long,neutral,verbose,3.3
4,claude,first,normal,positive,positive,3.8
4,claude,first,normal,negative,negative,3.6
4,claude,second,normal,neutral,disfavored,3.0
4,claude,second,short,negative,worst,3.4
4,claude,second,long,positive,best_biased,3.2
5,claude,first,normal,neutral,baseline,3.5
5,claude,first,short,neutral,short,3.3
5,claude,first,long,neutral,verbose,3.6
5,claude,first,normal,positive,positive,3.8
5,claude,first,normal,negative,negative,3.6
5,claude,second,normal,neutral,disfavored,3.5
5,claude,second,short,negative,worst,3.3
5,claude,second,long,positive,best_biased,3.7
6,claude,first,normal,neutral,baseline,3.3
6,claude,first,short,neutral,short,3.2
6,claude,first,long,neutral,verbose,3.4
6,claude,first,normal,positive,positive,3.7
6,claude,first,normal,negative,negative,3.3
6,claude,second,normal,neutral,disfavored,4.1
6,claude,second,short,negative,worst,2.9
6,claude,second,long,positive,best_biased,3.2
7,claude,first,normal,neutral,baseline,3.7
7,claude,first,short,neutral,short,3.8
7,claude,first,long,neutral,verbose,3.7
7,claude,first,normal,positive,positive,3.8
7,claude,first,normal,negative,negative,3.8
7,claude,second,normal,neutral,disfavored,3.4
7,claude,second,short,negative,worst,2.7
7,claude,second,long,positive,best_biased,3.4
8,claude,first,normal,neutral,baseline,3.8
8,claude,first,short,neutral,short,2.9
8,claude,first,long,neutral,verbose,3.6
8,claude,first,normal,positive,positive,3.7
8,claude,first,normal,negative,negative,3.3
8,claude,second,normal,neutral,disfavored,3.6
8,claude,second,short,negative,worst,3.3
8,claude,second,long,positive,best_biased,4.2
9,claude,first,normal,neutral,baseline,3.7
9,claude,first,short,neutral,short,3.2
9,claude,first,long,neutral,verbose,3.4
9,claude,first,normal,positive,positive,3.3
9,claude,first,normal,negative,negative,3.7
9,claude,second,normal,neutral,disfavored,3.2
9,claude,second,short,negative,worst,3.1
9,claude,second,long,positive,best_biased,3.8
10,claude,first,normal,neutral,baseline,3.3
10,claude,first,short,neutral,short,3.3
10,claude,first,long,neutral,verbose,3.0
10,claude,first,normal,positive,positive,3.3
10,claude,first,normal,negative,negative,3.2
10,claude,second,normal,neutral,disfavored,3.5
10,claude,second,short,negative,worst,3.5
10,claude,second,long,positive,best_biased,3.5
11,claude,first,normal,neutral,baseline,3.6
11,claude,first,short,neutral,short,3.4
11,claude,first,long,neutral,verbose,3.9
11,claude,first,normal,positive,positive,3.8
11,claude,first,normal,negative,negative,3.5
11,claude,second,normal,neutral,disfavored,3.1
11,claude,second,short,negative,worst,3.4
11,claude,second,long,positive,best_biased,3.7
12,claude,first,normal,neutral,baseline,3.9
12,claude,first,short,neutral,short,3.4
12,claude,first,long,neutral,verbose,4.2
12,claude,first,normal,positive,positive,3.5
12,claude,first,normal,negative,negative,3.9
12,claude,second,normal,neutral,disfavored,3.4
12,claude,second,short,negative,worst,3.0
12,claude,second,long,positive,best_biased,3.2
13,claude,first,normal,neutral,baseline,3.5
13,claude,first,short,neutral,short,3.8
13,claude,first,long,neutral,verbose,3.8
13,claude,first,normal,positive,positive,3.8
13,claude,first,normal,negative,negative,2.7
13,claude,second,normal,neutral,disfavored,3.6
13,claude,second,short,negative,worst,3.3
13,claude,second,long,positive,best_biased,3.4
14,claude,first,normal,neutral,baseline,3.3
14,claude,first,short,neutral,short,3.4
14,claude,first,long,neutral,verbose,4.1
14,claude,first,normal,positive,positive,3.3
14,claude,first,normal,negative,negative,3.3
14,claude,second,normal,neutral,disfavored,3.8
14,claude,second,short,negative,worst,3.0
14,claude,second,long,positive,best_biased,3.4
15,claude,first,normal,neutral,baseline,3.5
15,claude,first,short,neutral,short,3.0
15,claude,first,long,neutral,verbose,3.7
15,claude,first,normal,positive,positive,3.2
15,claude,first,normal,negative,negative,3.7
15,claude,second,normal,neutral,disfavored,3.4
15,claude,second,short,negative,worst,3.8
15,claude,second,long,positive,best_biased,3.6
16,claude,first,normal,neutral,baseline,3.9
16,claude,first,short,neutral,short,3.0
16,claude,first,long,neutral,verbose,3.6
16,claude,first,normal,positive,positive,3.7
16,claude,first,normal,negative,negative,3.9
16,claude,second,normal,neutral,disfavored,2.9
16,claude,second,short,negative,worst,3.4
16,claude,second,long,positive,best_biased,3.7
17,claude,first,normal,neutral,baseline,4.0
17,claude,first,short,neutral,short,3.6
17,claude,first,long,neutral,verbose,3.6
17,claude,first,normal,positive,positive,3.4
17,claude,first,normal,negative,negative,3.0
17,claude,second,normal,neutral,disfavored,3.4
17,claude,second,short,negative,worst,3.1
17,claude,second,long,positive,best_biased,4.2
18,claude,first,normal,neutral,baseline,3.3
18,claude,first,short,neutral,short,3.5
18,claude,first,long,neutral,verbose,3.1
18,claude,first,normal,positive,positive,3.5
18,claude,first,normal,negative,negative,3.5
18,claude,second,normal,neutral,disfavored,3.6
18,claude,second,short,negative,worst,3.6
18,claude,second,long,positive,best_biased,3.5
19,claude,first,normal,neutral,baseline,3.2
19,claude,first,short,neutral,short,3.5
19,claude,first,long,neutral,verbose,3.7
19,claude,first,normal,positive,positive,3.7
19,claude,first,normal,negative,negative,3.2
19,claude,second,normal,neutral,disfavored,3.7
19,claude,second,short,negative,worst,3.1
19,claude,second,long,positive,best_biased,3.8
20,claude,first,normal,neutral,baseline,3.9
20,claude,first,short,neutral,short,3.6
20,claude,first,long,neutral,verbose,3.7
20,claude,first,normal,positive,positive,4.2
20,claude,first,normal,negative,negative,3.5
20,claude,second,normal,neutral,disfavored,3.3
20,claude,second,short,negative,worst,3.2
20,claude,second,long,positive,best_biased,4.0
21,claude,first,normal,neutral,baseline,3.5
21,claude,first,short,neutral,short,3.5
21,claude,first,long,neutral,verbose,3.9
21,claude,first,normal,positive,positive,3.4
21,claude,first,normal,negative,negative,2.9
21,claude,second,normal,neutral,disfavored,3.5
21,claude,second,short,negative,worst,3.2
21,claude,second,long,positive,best_biased,3.4
22,claude,first,normal,neutral,baseline,3.8
22,claude,first,short,neutral,short,3.6
22,claude,first,long,neutral,verbose,3.3
22,claude,first,normal,positive,positive,3.7
22,claude,first,normal,negative,negative,3.4
22,claude,second,normal,neutral,disfavored,2.9
22,claude,second,short,negative,worst,3.3
22,claude,second,long,positive,best_biased,3.5
23,claude,first,normal,neutral,baseline,3.3
23,claude,first,short,neutral,short,3.5
23,claude,first,long,neutral,verbose,3.7
23,claude,first,normal,positive,positive,3.4
23,claude,first,normal,negative,negative,3.5
23,claude,second,normal,neutral,disfavored,3.7
23,claude,second,short,negative,worst,2.9
23,claude,second,long,positive,best_biased,3.7
24,claude,first,normal,neutral,baseline,3.5
24,claude,first,short,neutral,short,4.0
24,claude,first,long,neutral,verbose,3.0
24,claude,first,normal,positive,positive,3.8
24,claude,first,normal,negative,negative,3.3
24,claude,second,normal,neutral,disfavored,3.3
