judge,item_id,condition,position,length,sentiment,score,repeat_num,corrected_score,method
claude,0,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,0,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,0,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,0,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,0,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,0,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,0,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,0,best_biased,second,long,positive,3.0,1,3.1,consensus
claude,1,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,1,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,1,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,1,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,1,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,1,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,1,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,1,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,2,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,2,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,2,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,2,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,2,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,2,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,2,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,2,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,3,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,3,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,3,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,3,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,3,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,3,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,3,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,3,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,4,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,4,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,4,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,4,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,4,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,4,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,4,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,4,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,5,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,5,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,5,verbose_response,first,long,neutral,3.0,1,3.1,consensus
